age,study_hours,class_attendance,sleep_hours,sleep_quality,exam_difficulty,facility_rating,exam_score
17,2.78,92.9,7.4,1,3,1,58.9
23,3.37,64.8,4.6,2,2,2,54.8
22,7.88,76.8,8.5,1,2,3,90.3
20,0.67,48.4,5.8,2,2,1,29.7
20,0.89,71.6,9.8,1,2,1,43.7
23,3.48,65.4,4.2,3,2,1,58.2
17,1.35,69,7.4,2,3,3,53.7
22,5.48,51.1,8.2,1,2,1,47.3
18,2.89,92,6.6,1,1,1,44.9
17,6.77,44.8,9.8,2,2,3,77.7
21,5.99,86.9,5.8,2,1,2,63.2
24,3.77,96.6,4.1,1,1,2,53.5
22,6.76,46.4,8.1,3,3,2,63.9
23,0.81,66,7.1,1,2,2,34.1
22,4.65,75.1,7.7,3,2,3,83.5
23,4.84,99.4,7.3,2,2,3,98.5
21,1.97,91.9,8.3,2,2,2,70.3
18,0.4,64.9,6.8,1,2,2,32.3
23,4.28,98.1,4.4,2,2,1,56.2
20,4.11,59.9,4.3,1,2,3,49.3
21,5.23,60.4,4.2,1,1,2,68.1
19,1.7,70.4,9.8,3,1,1,52.1
18,1.44,86.8,9.7,2,1,2,47.1
24,7.82,51.5,6.3,3,1,1,84.8
23,0.91,84.5,8,2,2,1,68.9
22,7.91,40.6,4.3,3,2,1,76.3
20,5.76,55.7,8.2,2,1,1,71.6
23,5.03,98.5,6.7,1,3,3,74.1
21,2.72,79.4,7,3,2,2,56.6
20,6.94,67.8,4.6,3,2,2,49.2
20,7.28,83.9,6.3,1,1,3,97.5
18,5.78,66.1,5.1,3,1,3,81.8
17,5.68,46.4,4.1,3,2,3,65.6
21,3.95,69.9,6.5,1,3,3,71.1
24,0.62,97.3,4.6,3,1,3,60.3
17,7.91,56.4,5.1,2,2,3,81.3
23,0.12,43.2,5.8,2,3,2,37.3
23,3.96,84.5,6.7,1,3,1,52
19,2.94,67.3,5.4,2,1,3,58.9
22,6.21,60.1,9.7,2,1,1,65.8
18,5.89,69.3,9.5,2,2,2,67.6
23,5.02,95.8,5.5,1,3,3,99.3
22,0.6,55,6.7,3,1,3,33.6
19,1.89,52,7.6,1,2,2,35.5
17,0.75,72,5.1,2,2,2,42.8
24,7.83,67.8,7.8,3,1,3,100
20,1.02,49,6.5,3,1,3,50.4
